,user_id,month_id,age,avg_monthly_revenue,bnpl_amount,bnpl_default,repayment_days_delay,bnpl_repeat_count,direct_channel_usage_share,recent_recharge_freq,bundle_purchase_count,app_version_encoded
user_id,1.0,1.8755270182227868e-15,0.014083029891957487,-0.042592386687031455,0.029309291617206037,0.007762097006781058,-0.004208420248204392,0.027155906034108702,0.012658702853706606,0.013074800510625862,-0.011584416406343457,-0.0028057190116261657
month_id,1.8755270182227868e-15,1.0,-9.43745651049273e-18,0.002508068130451908,0.0009633103706173888,-0.0036105534796718056,0.00244223776345312,0.013574200048656906,-0.006318547342516019,0.0009331188332737529,0.00929158646812941,-0.006766404122729124
age,0.014083029891957487,-9.43745651049273e-18,1.0,-0.011812479567288042,-0.0046538121401193564,0.000153207293648624,-0.007085203444679117,0.009962581919143997,0.011432658692343762,-0.012576016339272569,-0.013110976502204955,-0.0024878257697429425
avg_monthly_revenue,-0.042592386687031455,0.002508068130451908,-0.011812479567288042,1.0,-0.016688343462872027,-0.016494047919034468,-0.00885971604186251,-0.009028846756368794,-0.0033386639485848755,0.009670659597808726,0.003924482873851262,-0.01776234817354802
bnpl_amount,0.029309291617206037,0.0009633103706173888,-0.0046538121401193564,-0.016688343462872027,1.0,0.23872985865272234,0.2047097778908458,0.5690547065743328,-0.01569007972591284,0.00497255644845977,-0.025245285363662082,0.011053168663129862
bnpl_default,0.007762097006781058,-0.0036105534796718056,0.000153207293648624,-0.016494047919034468,0.23872985865272234,1.0,0.8611766989072083,0.16512340710816673,-0.001848463910475755,-0.008372650531543848,0.006130560345738915,-0.006237080119911946
repayment_days_delay,-0.004208420248204392,0.00244223776345312,-0.007085203444679117,-0.00885971604186251,0.2047097778908458,0.8611766989072083,1.0,0.14026833152419263,-0.0013137825193019128,0.0005938663298764374,-0.0005886547869350387,-0.011443371208516996
bnpl_repeat_count,0.027155906034108702,0.013574200048656906,0.009962581919143997,-0.009028846756368794,0.5690547065743328,0.16512340710816673,0.14026833152419263,1.0,-0.010526640818218656,-0.0017094630112559708,-0.011893519955100696,0.010344192451080932
direct_channel_usage_share,0.012658702853706606,-0.006318547342516019,0.011432658692343762,-0.0033386639485848755,-0.01569007972591284,-0.001848463910475755,-0.0013137825193019128,-0.010526640818218656,1.0,0.013048682312896182,0.005516181220956818,-0.015196500338534565
recent_recharge_freq,0.013074800510625862,0.0009331188332737529,-0.012576016339272569,0.009670659597808726,0.00497255644845977,-0.008372650531543848,0.0005938663298764374,-0.0017094630112559708,0.013048682312896182,1.0,-0.008325488329773674,-0.009437776717924881
bundle_purchase_count,-0.011584416406343457,0.00929158646812941,-0.013110976502204955,0.003924482873851262,-0.025245285363662082,0.006130560345738915,-0.0005886547869350387,-0.011893519955100696,0.005516181220956818,-0.008325488329773674,1.0,0.002178062396535704
app_version_encoded,-0.0028057190116261657,-0.006766404122729124,-0.0024878257697429425,-0.01776234817354802,0.011053168663129862,-0.006237080119911946,-0.011443371208516996,0.010344192451080932,-0.015196500338534565,-0.009437776717924881,0.002178062396535704,1.0
